website,dns_lookup_time_ms,tcp_handshake_time_ms,ssl_time_ms,ttfb_ms,content_download_time_ms,total_network_time_ms,browser,status,measurement_date
googletagmanager.com,0.0,0.0,0.0,77.39999997615814,2.100000023841858,309.10000002384186,Chrome,SUCCESS,2024-10-13
youtube.com,0.0,0.0,0.0,99.60000002384186,63.200000047683716,984.5,Chrome,SUCCESS,2024-10-13
facebook.com,0.0,0.0,0.0,204.0,173.20000004768372,787.7000000476837,Chrome,SUCCESS,2024-10-13
ajax.googleapis.com,0.0,0.0,0.0,561.0,26.600000023841858,1303.2999999523163,Chrome,SUCCESS,2024-10-13
fonts.googleapis.com,0.0,0.0,0.0,72.39999997615814,1.7000000476837158,301.60000002384186,Chrome,SUCCESS,2024-10-13
twitter.com,0.0,0.0,0.0,89.10000002384186,81.80000007152557,285.5,Chrome,SUCCESS,2024-10-13
google.com,0.0,0.0,0.0,159.5,105.70000004768372,903.5,Chrome,SUCCESS,2024-10-13
linkedin.com,62.300000071525574,160.89999997615814,118.0,251.19999992847443,41.200000047683716,794.8999999761581,Chrome,SUCCESS,2024-10-13
instagram.com,0.0,0.0,0.0,102.30000007152557,136.89999997615814,592.8999999761581,Chrome,SUCCESS,2024-10-13
s.w.org,66.0,166.69999992847443,119.29999995231628,96.80000007152557,11.5,641.0,Chrome,SUCCESS,2024-10-13
