website,dns_lookup_time_ms,tcp_handshake_time_ms,ssl_time_ms,ttfb_ms,content_download_time_ms,total_network_time_ms,measurement_date,adjusted_dom_parsing_time_ms,adjusted_rendering_time_ms,adjusted_browser_processing_time_ms,total_page_load_time_ms,first_paint_ms,first_contentful_paint_ms,average_resource_processing_time_ms,total_transfer_size_bytes,browser,status
googletagmanager.com,0.0,0.0,0.0,77.39999997615814,2.100000023841858,309.10000002384186,2024-10-13,46,247,310,619,405.10000002384186,405.10000002384186,616.2000000476837,0,Chrome,SUCCESS
youtube.com,0.0,0.0,0.0,99.60000002384186,63.200000047683716,984.5,2024-10-13,645,675,1409,2393,1725.8999999761581,1759.2999999523163,1483.145454512401,736021,Chrome,SUCCESS
facebook.com,0.0,0.0,0.0,204.0,173.20000004768372,787.7000000476837,2024-10-13,262,548,819,1607,1386.0,1386.0,75.0363636423241,479385,Chrome,SUCCESS
ajax.googleapis.com,0.0,0.0,0.0,561.0,26.600000023841858,1303.2999999523163,2024-10-13,258,955,1345,2648,1817.5999999046326,1817.5999999046326,216.14999998609224,4356,Chrome,SUCCESS
fonts.googleapis.com,0.0,0.0,0.0,72.39999997615814,1.7000000476837158,301.60000002384186,2024-10-13,7,256,274,576,431.89999997615814,431.89999997615814,574.6000000238419,0,Chrome,SUCCESS
twitter.com,0.0,0.0,0.0,89.10000002384186,81.80000007152557,285.5,2024-10-13,880,1744,2625,2911,282.0,282.0,2909.0999999046326,0,Chrome,SUCCESS
google.com,0.0,0.0,0.0,159.5,105.70000004768372,903.5,2024-10-13,76,1057,1137,2040,937.1999999284744,937.1999999284744,232.19999998382158,552495,Chrome,SUCCESS
linkedin.com,62.300000071525574,160.89999997615814,118.0,251.19999992847443,41.200000047683716,794.8999999761581,2024-10-13,31,527,559,1354,1314.6999999284744,1314.6999999284744,6.7769230879270115,135131,Chrome,SUCCESS
instagram.com,0.0,0.0,0.0,102.30000007152557,136.89999997615814,592.8999999761581,2024-10-13,931,6042,6988,7581,684.0,684.0,328.0724137939256,1791140,Chrome,SUCCESS
s.w.org,66.0,166.69999992847443,119.29999995231628,96.80000007152557,11.5,641.0,2024-10-13,492,455,948,1589,992.0,992.0,189.80238094783965,1336894,Chrome,SUCCESS
