website,dns_lookup_time_ms,tcp_handshake_time_ms,ssl_time_ms,ttfb_ms,content_download_time_ms,total_network_time_ms,measurement_date,adjusted_dom_parsing_time_ms,adjusted_rendering_time_ms,adjusted_browser_processing_time_ms,total_page_load_time_ms,first_paint_ms,first_contentful_paint_ms,average_resource_processing_time_ms,total_transfer_size_bytes,browser,status
googletagmanager.com,0.0,0.0,0.0,73.60000002384186,2.600000023841858,272.90000009536743,2024-10-13,36,286,336,609,368.8000000715256,368.8000000715256,607.0,0,Chrome,SUCCESS
youtube.com,0.0,0.0,0.0,123.10000002384186,77.39999997615814,1101.8999999761581,2024-10-13,695,691,1466,2568,1857.8999999761581,1891.2999999523163,1549.7302325548128,736034,Chrome,SUCCESS
facebook.com,0.0,0.0,0.0,304.2999999523163,33.200000047683716,775.8000000715256,2024-10-13,605,314,924,1699,1482.6000000238419,1482.6000000238419,92.42432432883494,340584,Chrome,SUCCESS
ajax.googleapis.com,0.0,0.0,0.0,227.70000004768372,28.299999952316284,262.7999999523163,2024-10-13,84,433,665,928,899.5999999046326,899.5999999046326,81.72499999403954,112922,Chrome,SUCCESS
fonts.googleapis.com,0.0,0.0,0.0,72.20000004768372,3.0,269.8000000715256,2024-10-13,23,288,318,587,397.8000000715256,397.8000000715256,585.8999999761581,0,Chrome,SUCCESS
twitter.com,0.0,0.0,0.0,107.90000009536743,64.79999995231628,301.2000000476837,2024-10-13,806,877,1684,1985,306.60000002384186,306.60000002384186,1428.0297872791898,0,Chrome,SUCCESS
google.com,0.0,0.0,0.0,144.39999997615814,154.60000002384186,952.2000000476837,2024-10-13,75,893,970,1922,975.6000000238419,975.6000000238419,288.7772727283564,544679,Chrome,SUCCESS
linkedin.com,0.0,0.0,0.0,105.0,39.89999997615814,530.8000000715256,2024-10-13,23,0,28,559,,,,0,Chrome,SUCCESS
instagram.com,0.0,0.0,0.0,114.39999997615814,141.70000004768372,606.1000000238419,2024-10-13,909,5891,6823,7429,716.3999999761581,716.3999999761581,274.7923076886397,1757883,Chrome,SUCCESS
s.w.org,101.69999992847443,170.70000004768372,108.79999995231628,84.10000002384186,29.799999952316284,687.1999999284744,2024-10-13,676,423,1100,1788,1088.7999999523163,1088.7999999523163,239.32857143878937,1336894,Chrome,SUCCESS
googletagmanager.com,41,158,113,70,7,322,2024-10-13,10,211,254,575,,365,574.0,0,Firefox,SUCCESS
youtube.com,4,142,142,121,0,602,2024-10-13,608,2151,2802,3404,,1253,1246.344827586207,725483,Firefox,SUCCESS
facebook.com,52,0,0,178,0,543,2024-10-13,509,422,948,1490,,1202,151.48979591836735,486888,Firefox,SUCCESS
ajax.googleapis.com,0,0,0,488,0,893,2024-10-13,324,1204,1528,2433,,1241,1595.648148148148,216833,Firefox,SUCCESS
fonts.googleapis.com,1,121,78,70,18,265,2024-10-13,8,212,222,487,,297,485.0,0,Firefox,SUCCESS
twitter.com,0,0,0,92,0,205,2024-10-13,865,1008,1874,2142,,247,2097.0,0,Firefox,SUCCESS
google.com,0,64,64,142,0,555,2024-10-13,129,1055,1201,1756,,600,240.95238095238096,543568,Firefox,SUCCESS
linkedin.com,45,0,0,189,4,665,2024-10-13,25,547,577,1242,,1169,5.3076923076923075,6879,Firefox,SUCCESS
instagram.com,37,0,0,106,0,442,2024-10-13,0,5726,5726,6300,,543,502.8333333333333,1438074,Firefox,SUCCESS
s.w.org,3,164,106,79,20,525,2024-10-13,258,708,985,1509,,733,169.5121951219512,329436,Firefox,SUCCESS
