Class,Method,Smoke,Converted,Signal
AddressAutofillTest,verifyAddressAutofillTest,Yes,Converted,replacedBy
BookmarksTest,deleteBookmarkFoldersTest,Yes,Converted,replacedBy
BookmarksTest,editBookmarksNameAndUrlTest,Yes,Converted,replacedBy
BookmarksTest,shareBookmarkTest,Yes,Converted,replacedBy
BookmarksTest,openMultipleSelectedBookmarksInANewTabTest,Yes,Converted,replacedBy
BookmarksTest,deleteMultipleSelectedBookmarksTest,Yes,Converted,replacedBy
BookmarksTest,verifySearchForBookmarkedItemsTest,Yes,Converted,replacedBy
BrowsingErrorPagesTest,verifyMalwareWebsiteWarningMessageTest,Yes,Converted,replacedBy
BrowsingErrorPagesTest,verifyPhishingWebsiteWarningMessageTest,Yes,Converted,replacedBy
BrowsingErrorPagesTest,verifyUnwantedSoftwareWebsiteWarningMessageTest,Yes,Converted,replacedBy
BrowsingErrorPagesTest,verifyHarmfulWebsiteWarningMessageTest,Yes,Converted,replacedBy
CollectionTest,verifyExpandedCollectionItemsTest,Yes,Converted,replacedBy
CollectionTest,openAllTabsFromACollectionTest,Yes,Converted,replacedBy
CollectionTest,shareAllTabsFromACollectionTest,Yes,Converted,replacedBy
CollectionTest,deleteCollectionTest,Yes,Converted,replacedBy
CrashReportingTest,useAppWhileTabIsCrashedTest,Yes,Converted,replacedBy
CustomTabsTest,verifyCustomTabMenuItemsTest,Yes,Converted,replacedBy
CustomTabsTest,openCustomTabInFirefoxTest,Yes,Converted,replacedBy
HistoryTest,verifyHistoryMenuWithHistoryItemsTest,Yes,Converted,replacedBy
HistoryTest,deleteAllHistoryTest,Yes,Converted,replacedBy
HistoryTest,noHistoryInPrivateBrowsingTest,Yes,Converted,replacedBy
HomeScreenTest,homeScreenItemsTest,,Converted,name-match
HomeScreenTest,verifyJumpBackInSectionTest,Yes,Converted,replacedBy
LoginsTest,verifyNeverSaveLoginOptionTest,Yes,Converted,replacedBy
MainMenuTest,verifyMainMenuItemsTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheBrowserViewMainMenuItemsTest,Yes,Converted,replacedBy
MainMenuTest,verifySwitchToDesktopSiteIsDisabledOnPDFsTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheFindInPageMenuItemTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheHistoryMenuItemTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheDownloadsMenuItemTest,Yes,Converted,replacedBy
MainMenuTest,verifyThePasswordsMenuItemTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheBookmarkPageMenuOptionTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheAddToShortcutsSubMenuOptionTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheAddToHomeScreenSubMenuOptionTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheSaveToCollectionSubMenuOptionTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheSaveAsPDFSubMenuOptionTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheTranslatePageSubMenuOptionTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheShareButtonTest,Yes,Converted,replacedBy
MainMenuTest,verifyDesktopSiteModeOnOffIsEnabledTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheHomePageSettingsMenuItemTest,Yes,Converted,name-match
MainMenuTest,verifyTheFindInPageMenuItemInACustomTabTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheExtensionsMenuOptionTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheMainMenuBackButtonTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheMainMenuForwardButtonTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheBookmarksMainMenuItemTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheMainMenuBackButtonFromCustomTabTest,Yes,Converted,replacedBy
MainMenuTest,verifyTheMainMenuForwardButtonFromCustomTabTest,Yes,Converted,replacedBy
NavigationToolbarExpandedTest,verifyTheExpandedToolbarNewTabButtonTest,Yes,Converted,replacedBy
NavigationToolbarExpandedTest,verifyTheExpandedToolbarTabTrayButtonTest,Yes,Converted,replacedBy
NavigationToolbarExpandedTest,verifyTheExpandedToolbarMainMenuButtonTest,Yes,Converted,replacedBy
OnboardingTest,verifyTheTermsOfUseOnboardingCardTest,Yes,Converted,name-match
OnboardingTest,verifyTheFirefoxSearchWidgetOnboardingCardTest,Yes,Converted,name-match
OnboardingTest,verifyTheStartSyncingOnboardingCardTest,Yes,Converted,name-match
OnboardingTest,verifyTheChooseYourAddressBarOnboardingCardTest,Yes,Converted,name-match
OnboardingTest,verifyTheSetAsDefaultBrowserOnboardingCardTest,,Converted,name-match
RecentlyClosedTabsTest,openRecentlyClosedItemTest,Yes,Converted,replacedBy
RecentlyClosedTabsTest,deleteRecentlyClosedTabsItemTest,Yes,Converted,replacedBy
SettingsAboutTest,verifyAboutSettingsItemsTest,,Converted,name-match
SettingsAboutTest,verifyRateOnGooglePlayButtonTest,,Converted,name-match
SettingsAboutTest,verifyLibrariesListInReleaseBuildsTest,,Converted,name-match
SettingsAboutTest,verifyAboutFirefoxMenuAppDetailsItemTest,,Converted,name-match
SettingsAboutTest,verifyAboutFirefoxMenuWhatsNewInFirefoxItemTest,,Converted,name-match
SettingsAboutTest,verifyAboutFirefoxMenuSupportItemTest,,Converted,name-match
SettingsAboutTest,verifyAboutFirefoxMenuCrashesItemTest,,Converted,name-match
SettingsAboutTest,verifyAboutFirefoxMenuPrivacyNoticeItemTest,,Converted,name-match
SettingsAboutTest,verifyAboutFirefoxMenuKnowYourRightsItemTest,,Converted,name-match
SettingsAboutTest,verifyAboutFirefoxMenuLicensingInformationItemTest,,Converted,name-match
SettingsAboutTest,verifyAboutFirefoxMenuLibrariesThatWeUseItemTest,,Converted,name-match
SettingsCustomizeTest,verifyTheDefaultAppIconSettingTest,Yes,Converted,replacedBy
SettingsCustomizeTest,verifyTheAppIconSelectionPageTest,Yes,Converted,replacedBy
SettingsCustomizeTest,verifyTheChangeAppIconButtonTest,Yes,Converted,replacedBy
SettingsCustomizeTest,verifyTheToolbarLayoutSectionTest,,Converted,replacedBy
SettingsDeleteBrowsingDataOnQuitTest,deleteDownloadsOnQuitTest,Yes,Converted,replacedBy
SettingsDeleteBrowsingDataOnQuitTest,deleteSitePermissionsOnQuitTest,Yes,Converted,replacedBy
SettingsGeneralTest,verifyGeneralSettingsItemsTest,,Converted,name-match
SettingsGeneralTest,setAppLanguageDifferentThanSystemLanguageTest,Yes,Converted,replacedBy
SettingsHTTPSOnlyModeTest,httpsOnlyModeEnabledInNormalBrowsingTest,Yes,Converted,replacedBy
SettingsHomepageTest,jumpBackInOptionTest,Yes,Converted,replacedBy
SettingsHomepageTest,recentBookmarksOptionTest,Yes,Converted,replacedBy
SettingsSearchTest,verifySearchSettingsMenuItemsTest,,Converted,name-match
SettingsSearchTest,verifyTheDefaultSearchEngineCanBeChangedTest,Yes,Converted,replacedBy
TabbedBrowsingTest,verifyPrivateTabsTrayWithOpenTabTest,Yes,Converted,replacedBy
TabbedBrowsingTest,verifySyncedTabsWhenUserIsNotSignedInTest,,Converted,replacedBy
TopSitesTest,addAWebsiteAsATopSiteTest,Yes,Converted,replacedBy
UnifiedTrustPanelTest,verifySecurePageConnectionFromQuickSettingsWithNoTrackersTest,Yes,Converted,replacedBy
UnifiedTrustPanelTest,verifyInsecurePageConnectionFromQuickSettingsWithTrackersTest,Yes,Converted,replacedBy
UnifiedTrustPanelTest,verifyClearCookiesAndSiteDataFromQuickSettingsTest,Yes,Converted,replacedBy
UnifiedTrustPanelTest,verifyInsecurePageConnectionFromQuickSettingsWithNoTrackersInCustomTabsTest,Yes,Converted,replacedBy
UnifiedTrustPanelTest,verifyClearCookiesAndSiteDataFromQuickSettingsInCustomTabsTest,Yes,Converted,replacedBy
